t,res_kind,mkind,ref_b_x,ref_b_y,ref_b_yaw,contra_b,raw_x,raw_y,raw_yaw,chosen_x,chosen_y,chosen_yaw,ref_a_x,ref_a_y,ref_a_yaw,contra_a,resid_to_ref,reloc_x,reloc_y,reloc_yaw,prior_x,prior_y,prior_yaw,resid_m
1787538049.765,full,ok,-1.9314,0.0404,0.0267,0,-1.8136,0.0857,0.0042,-1.8136,0.0857,0.0042,-1.9314,0.0404,0.0267,0,0.1262,,,,-1.9395,0.0157,0.0407,0.5210
1787538049.948,full,ok,-1.9314,0.0404,0.0267,0,-1.9528,0.0436,0.0287,-1.9528,0.0436,0.0287,-1.9314,0.0404,0.0267,0,0.0216,,,,-1.8295,0.0820,0.0045,0.5026
1787538050.102,full,ok,-1.9314,0.0404,0.0267,0,-1.9513,0.0427,0.0286,-1.9513,0.0427,0.0286,-1.9314,0.0404,0.0267,0,0.0200,,,,-1.9135,0.0482,0.0271,0.4962
1787538050.438,full,ok,-1.9314,0.0404,0.0267,0,-1.9507,0.0408,0.0290,-1.9507,0.0408,0.0290,-1.9314,0.0404,0.0267,0,0.0193,,,,-1.9432,0.0398,0.0286,0.5188
1787538050.563,full,ok,-1.9314,0.0404,0.0267,0,-1.9464,0.0433,0.0288,-1.9464,0.0433,0.0288,-1.9314,0.0404,0.0267,0,0.0153,,,,-1.9495,0.0406,0.0290,0.4940
1787538050.678,full,ok,-1.9314,0.0404,0.0267,0,-1.9491,0.0460,0.0280,-1.9491,0.0460,0.0280,-1.9314,0.0404,0.0267,0,0.0185,,,,-1.9482,0.0426,0.0290,0.5063
1787538050.803,full,ok,-1.9314,0.0404,0.0267,0,-1.9479,0.0399,0.0294,-1.9479,0.0399,0.0294,-1.9314,0.0404,0.0267,0,0.0165,,,,-1.9511,0.0445,0.0282,0.4979
1787538050.908,full,ok,-1.9314,0.0404,0.0267,0,-1.9478,0.0389,0.0295,-1.9478,0.0389,0.0295,-1.9314,0.0404,0.0267,0,0.0165,,,,-1.9492,0.0408,0.0292,0.5070
1787538051.012,full,ok,-1.9314,0.0404,0.0267,0,-1.9463,0.0437,0.0289,-1.9463,0.0437,0.0289,-1.9314,0.0404,0.0267,0,0.0152,,,,-1.9489,0.0391,0.0295,0.5154
1787538051.145,full,ok,-1.9314,0.0404,0.0267,0,-1.9510,0.0456,0.0283,-1.9510,0.0456,0.0283,-1.9314,0.0404,0.0267,0,0.0202,,,,-1.9478,0.0425,0.0292,0.5082
1787538051.291,full,ok,-1.9314,0.0404,0.0267,0,-1.9512,0.0443,0.0285,-1.9512,0.0443,0.0285,-1.9314,0.0404,0.0267,0,0.0202,,,,-1.9503,0.0449,0.0285,0.5039
1787538051.394,full,ok,-1.9314,0.0404,0.0267,0,-1.9517,0.0423,0.0286,-1.9517,0.0423,0.0286,-1.9314,0.0404,0.0267,0,0.0204,,,,-1.9519,0.0443,0.0285,0.5151
1787538051.571,full,ok,-1.9314,0.0404,0.0267,0,-1.9506,0.0463,0.0279,-1.9506,0.0463,0.0279,-1.9314,0.0404,0.0267,0,0.0201,,,,-1.9521,0.0426,0.0286,0.5194
1787538051.646,full,ok,-1.9314,0.0404,0.0267,0,-1.9566,0.0418,0.0287,-1.9566,0.0418,0.0287,-1.9314,0.0404,0.0267,0,0.0252,,,,-1.9516,0.0457,0.0280,0.4992
1787538051.786,full,ok,-1.9314,0.0404,0.0267,0,-1.9543,0.0418,0.0287,-1.9543,0.0418,0.0287,-1.9314,0.0404,0.0267,0,0.0229,,,,-1.9548,0.0427,0.0285,0.4976
1787538051.911,full,ok,-1.9314,0.0404,0.0267,0,-1.9549,0.0429,0.0286,-1.9549,0.0429,0.0286,-1.9314,0.0404,0.0267,0,0.0236,,,,-1.9550,0.0418,0.0287,0.5010
1787538052.102,full,ok,-1.9314,0.0404,0.0267,0,-1.9504,0.0429,0.0284,-1.9504,0.0429,0.0284,-1.9314,0.0404,0.0267,0,0.0192,,,,-1.9571,0.0417,0.0287,0.4948
1787538052.257,full,ok,-1.9314,0.0404,0.0267,0,-1.9480,0.0491,0.0274,-1.9480,0.0491,0.0274,-1.9314,0.0404,0.0267,0,0.0187,,,,-1.9523,0.0428,0.0285,0.5001
1787538052.368,full,ok,-1.9314,0.0404,0.0267,0,-1.9481,0.0483,0.0275,-1.9481,0.0483,0.0275,-1.9314,0.0404,0.0267,0,0.0185,,,,-1.9495,0.0481,0.0276,0.5032
